category,similarity,key_works,shared,unique_to_asar
"adaptive_retrieval","CLOSE_CONCEPTUAL_PRIOR_ART","Self-RAG (Asai et al., 2024); FLARE (Jiang et al., 2023); ReaLM-Retrieve (2024)","State-dependent retrieval decisions","Multi-operation composition; complementarity between retrieval and other cognitive types"
"adaptive_test_time_compute","MECHANISM_OVERLAP","Adaptive Computation Time (Graves, 2016); AdapTime (2024) — variable inference steps; PonderNet (Banino et al., 2021)","Both consider state-dependent resource allocation","Counterfactual measurement of operation-type value; temporal complementarity between operation types"
"agent_planning_search_decoupling","CLOSE_CONCEPTUAL_PRIOR_ART","DecoupleSearch (2024); Reflexion (Shinn et al., 2023); LATS (Zhou et al., 2024)","Generation != verification principle","Systematic complementarity measurement; controlled epistemic environment"
"dynamic_reasoning_graphs","MECHANISM_OVERLAP","Dynamic reasoning graphs (various 2024); Entailer (Tafjord et al., 2022); Reasoning graph construction","Structured multi-step reasoning","Process-level measurement; temporal complementarity of construction operations"
"hierarchical_llm_planning","MECHANISM_OVERLAP","AdaPlan-H (2024) — hierarchical adaptive planning; HuggingGPT (Shen et al., 2023); Voyager (Wang et al., 2023)","Multi-level decision making about cognitive strategies","Controlled counterfactual measurement; operation-type complementarity"
"learned_skills_options","MECHANISM_OVERLAP","Options Framework (Sutton et al., 1999); Skill discovery in RL; TACO (Shiarlis et al., 2018)","Temporal abstraction of primitive actions into reusable sequences","Epistemic (rather than reward-based) evaluation; counterfactual measurement of motif value"
"long_horizon_search_agents","EVALUATION_OVERLAP","WebArena (Zhou et al., 2024); WebAnchor (2024); SWE-Agent (Yang et al., 2024)","Multi-step agent decision-making","Controlled epistemic environment with ground truth; mechanism measurement"
"metacognitive_agents","CLOSE_CONCEPTUAL_PRIOR_ART","Metacognitive Prompting (Wang et al., 2024); Self-Refine (Madaan et al., 2023); Meta-cognitive LLM agents","Self-monitoring and strategy adjustment","Quantified failure of adaptive metacognitive control; adaptivity gap measurement"
"process_reward_models","EVALUATION_OVERLAP","Lightman et al. (2024) — step-level reward in math; Wang et al. (2024) — Math-Shepherd; ORM vs PRM comparisons","Step-level evaluation during multi-step reasoning","Operations differ in kind, not just quality; complementarity/interference between operations"
"reasoning_strategy_routing","EVALUATION_OVERLAP","Mixture of Experts for reasoning; RouteLLM (Ong et al., 2024); LLM routing/cascading systems","Adaptive strategy selection","Sequential composition; temporal complementarity; order effects"
"reasoning_trajectory_evaluation","MECHANISM_OVERLAP","Tree of Thoughts (Yao et al., 2024); Graph of Thoughts (Besta et al., 2024); Beam Search for Reasoning","Multi-path evaluation, search over cognitive strategies","Heterogeneous operations; temporal complementarity measurement"
"tool_use_scheduling","CLOSE_CONCEPTUAL_PRIOR_ART","Toolformer (Schick et al., 2023); Tool scheduling in agents; ART (Paranjape et al., 2023)","Sequential tool/operation selection","Epistemic quality measurement; temporal complementarity between operation types"
